scale_init,theta_init,estimated_angle,estimated_scale,angle_error,scale_error,iterations,converged,experiment_type
0.5,30.0,30.001688596518772,1.499721777347901,0.0016885965187753,0.0002782226520989,371,True,scale_init
0.8,30.0,30.001696969404158,1.499727286938003,0.0016969694041542,0.000272713061997,330,True,scale_init
1.0,0.0,29.97542246258296,1.5058495779554568,0.0245775374170413,0.0058495779554568,443,True,theta_init
1.2,30.0,30.00172249895544,1.4997214750146737,0.0017224989554378,0.0002785249853265,183,True,scale_init
1.5,-20.0,28.878299685122244,2.7861779979466603,1.1217003148777565,1.2861779979466603,999,False,theta_init
1.5,-10.0,29.678261907688107,2.804249370832732,0.3217380923118931,1.304249370832732,999,False,theta_init
1.5,0.0,30.61615079943689,2.6863800559517226,0.6161507994368947,1.1863800559517226,999,False,theta_init
1.5,10.0,30.204185958621466,2.167825832964956,0.2041859586214656,0.6678258329649562,999,False,theta_init
1.5,20.0,29.975374824420005,1.505846881463524,0.0246251755799953,0.0058468814635239,862,True,theta_init
1.5,40.0,30.002177761857084,1.4995802792479664,0.0021777618570837,0.0004197207520335,122,True,theta_init
1.5,50.0,30.00164138891252,1.499729589815765,0.0016413889125175,0.000270410184235,263,True,theta_init
1.8,0.0,29.39689555837631,3.2198746909177705,0.6031044416236888,1.7198746909177705,999,False,theta_init
1.8,30.0,29.279289070982895,1.6814198669374705,0.7207109290171019,0.1814198669374702,999,False,scale_init
2.0,30.0,32.191618794069214,3.045343705199113,2.191618794069214,1.5453437051991128,999,False,scale_init
