反復回数,∂J/∂θ,∂J/∂s,目的関数J
0,-231313103.0,-2046886153.0,884583.5
1,-229582471.8180425,-2047120793.4913473,884583.5
2,-227851849.74789047,-2047352592.0595212,884583.5
3,-226121236.7631316,-2047581570.9598422,884583.5
4,-227340474.72453448,-2067646045.3479068,883420.0
5,-232124240.13651302,-2003792896.0796597,882921.0
6,-243184823.9852929,-1973741268.028421,884263.5
7,-235415951.48224148,-1976999946.7041383,884649.0
8,-239715605.6494621,-1990169973.6715136,886709.5
9,-229331746.15451774,-1991709274.0501235,885502.0
10,-221967885.92022955,-1996584700.7487323,885654.5
11,-222270364.49603584,-1997702905.3265934,886073.5
12,-224500813.81641737,-2009883167.8570714,886466.0
13,-225156103.5655418,-2018874783.6597834,888022.0
14,-233120707.30003688,-2026229415.011755,886649.0
15,-241986825.50111496,-2019743279.050432,885067.5
16,-238402640.82644838,-2019681906.7791328,881005.0
17,-231146138.84319723,-1989698033.7053576,883256.0
18,-233230345.4109776,-1983958137.1807566,882478.0
19,-227051562.90321955,-1965672985.5546865,884456.5
20,-227109614.60114628,-1915928443.7146678,884758.5
21,-222913700.45494682,-1908619704.3996494,884071.5
22,-237208779.47114477,-1897377881.7881365,881530.5
23,-256939098.3917278,-1895036206.2167182,885767.5
24,-254461827.08743995,-1898060817.4730392,885910.0
25,-246563596.17078465,-1907236928.3859918,884320.5
26,-242159848.13093388,-1917667393.1544461,884859.5
27,-236942294.42931107,-1912078240.6139998,883636.0
28,-235042157.85796767,-1854512674.5763736,879728.5
29,-242323465.18106,-1841626158.0679212,879314.0
30,-249738450.16461036,-1860988568.3404245,878710.0
31,-243097648.9241987,-1860356863.2444553,878860.5
32,-236695935.7145922,-1859813504.5710943,879563.0
33,-233236174.72484723,-1855205327.7726607,881713.0
34,-236350188.37848315,-1858506742.5623631,881588.0
35,-230644688.15882432,-1872455996.449028,879242.0
36,-227678083.71165708,-1869719180.945301,877764.0
37,-216537146.12356767,-1855599217.3102102,878601.5
38,-200164879.5736704,-1825481153.3856516,877716.0
39,-216399825.44286314,-1813775091.1345322,877331.0
40,-213053599.8194514,-1813423572.66505,878709.5
41,-218030675.02462107,-1814981317.0474517,878678.5
42,-214280359.48727128,-1811590549.8359113,880480.0
43,-209853552.55718753,-1807306266.0148518,881179.5
44,-200357152.98051137,-1840011145.906444,878552.5
45,-202415020.56165174,-1852677040.9942899,881454.5
46,-195231262.4207048,-1850559090.213327,880699.5
47,-191296487.36035883,-1875664222.0966244,881044.0
48,-206811431.71187708,-1864688221.502995,882535.0
49,-191353922.32033864,-1864578856.2232373,879952.5
50,-188232186.91295552,-1859979665.1849985,879708.5
51,-185155692.862166,-1856003011.2944286,882237.5
52,-188362618.9519214,-1849519913.6517859,880816.0
53,-213229135.9057312,-1851762286.9386995,879191.5
54,-198740810.3234523,-1854012036.470354,878760.0
55,-194880619.13700402,-1892634011.9027276,876477.5
56,-202489307.80436426,-1884422277.2609277,879663.0
57,-202092927.14962578,-1884018620.3139687,878637.0
58,-208920555.24517012,-1880727855.1012726,877468.0
59,-218086759.5661469,-1876335165.6930327,877354.0
60,-215243725.1714958,-1870049794.250836,879029.0
61,-203780972.0450831,-1881572049.784827,879408.5
62,-207668291.48987842,-1897295074.097327,875506.5
63,-205120771.3051948,-1923618183.8542795,871302.5
64,-207222980.4394219,-1920753755.6300883,869105.0
65,-223308296.19449955,-1924943595.7328997,870521.5
66,-228412007.4736371,-1913406544.8645773,870284.5
67,-224150918.4930405,-1909592336.6250155,867641.0
68,-231677662.8427655,-1893197053.3016267,867154.0
69,-233246925.5873555,-1886025367.0973034,867534.0
70,-240044128.6127836,-1894410929.4175282,866712.5
71,-239483769.19832045,-1893469932.1284032,867579.5
72,-224984964.18186498,-1904217631.9115705,867254.0
73,-244854639.9134788,-1893321817.1491895,869907.0
74,-234756629.391864,-1910091905.5343647,873238.0
75,-233030357.3300596,-1919269977.7733264,871626.0
76,-237703585.98107946,-1906158690.648559,869111.5
77,-243038956.42066848,-1892268455.6262784,873732.5
78,-245619916.82853854,-1912143229.0996764,871248.5
79,-224617077.36028677,-1905653579.681693,867735.0
80,-227603971.73278636,-1900919016.4176838,869138.5
81,-226322668.91465974,-1897244920.9232898,871917.0
82,-232836504.69184852,-1900368243.8859649,871611.0
83,-234865915.94692248,-1910526580.4490871,867303.5
84,-236678253.8050862,-1917722773.050848,865346.5
85,-254585886.82255054,-1905692534.3638551,864812.0
86,-260628044.25880855,-1910216590.1745749,863840.5
87,-264097707.04213607,-1886581367.918445,862362.5
88,-279744169.3865274,-1873068760.2294712,861522.0
89,-285752852.80455613,-1856367228.978233,863569.5
90,-276754383.0665029,-1855352621.6730313,863177.0
91,-281146395.21930283,-1861153535.6126156,865060.0
92,-278722771.2088733,-1855467079.0224977,866902.5
93,-269024828.0930855,-1858744100.0185697,861483.5
94,-265586395.84791005,-1880983754.6101327,861050.5
95,-265266718.62743175,-1882114853.166295,862226.0
96,-288013243.37500614,-1849228678.609413,863537.0
97,-263605242.16970372,-1855153651.5559676,862806.5
98,-261803998.24709475,-1845681634.0828586,861822.0
99,-241235677.50663942,-1841178404.0847056,859077.5
100,-237475751.10755157,-1842060089.6888716,855685.0
101,-241536648.51686895,-1840056251.2185338,855428.0
102,-216205400.4052351,-1847538374.9992537,851331.0
103,-225080643.34138596,-1855764394.151336,850480.5
104,-244182472.5248577,-1850675378.0156446,851746.5
105,-247939469.71375382,-1859150493.6055622,850875.5
106,-241070041.09961307,-1866029809.1890707,852225.5
107,-231673685.3003828,-1850985534.7737134,855944.0
108,-234951164.9879663,-1850882009.749927,851489.5
109,-251223027.35443658,-1859370575.2325854,851866.5
110,-257376505.90490305,-1857950740.697421,848656.5
111,-261232251.9374389,-1840753185.295682,846046.5
112,-271908916.9588075,-1871736110.9040883,845841.0
113,-271401492.4086759,-1874938346.1020954,845106.0
114,-268123437.5456375,-1892285640.7371898,843327.0
115,-280329282.13011307,-1893329204.4806733,846078.5
116,-259480163.3840971,-1905411255.5513775,848641.0
117,-263541787.789361,-1878125094.1087554,847143.5
118,-260094003.7663265,-1867420092.033712,844487.0
119,-264596661.315768,-1838259621.3142989,842408.5
120,-262958197.35738313,-1831171802.9243336,841284.5
121,-256316428.63753265,-1835823921.128443,840341.0
122,-251873694.0912766,-1842047503.2899318,839679.5
123,-248072790.6555922,-1844391508.7393079,838953.0
124,-241343629.47223997,-1838304568.6260762,837629.5
125,-261909620.1615737,-1804678944.1392167,841658.5
126,-255459055.623931,-1804843467.0433822,840169.5
127,-261393072.28274113,-1780243062.4078066,839329.5
128,-260252575.00213045,-1792396439.5141764,838986.0
129,-251335559.29566115,-1785006619.0595315,837256.0
130,-243462021.5995472,-1809608341.1953452,838214.0
131,-236437482.288055,-1814292870.291248,835190.0
132,-246812360.65118557,-1803567874.121799,830690.5
133,-247705152.7602687,-1805120311.9115934,828794.0
134,-246302803.79510117,-1813459233.0936174,830416.5
135,-264380357.2722414,-1813419610.0123122,830465.0
136,-273557970.3754616,-1827141348.6679468,826637.5
137,-269542871.5495635,-1853801181.583088,824007.5
138,-262883497.1154087,-1848764676.0605373,822580.5
139,-262634010.12435752,-1841528123.3051548,822910.5
140,-258090310.1923291,-1875931226.3541067,820702.0
141,-246130494.85878003,-1896985277.06091,818345.5
142,-256499509.5527348,-1894122457.5817738,814261.0
143,-253944140.10830238,-1912479284.0461404,814033.5
144,-262942919.70579022,-1922305159.6289659,813646.5
145,-254975834.92743337,-1931191909.6741776,811109.5
146,-242960634.74565136,-1963434442.9357395,809358.0
147,-220387019.64488834,-1985336683.1694074,806624.0
148,-222777759.64204326,-1988535849.0333407,805312.0
149,-234619153.16112587,-1971981003.2968786,804698.0
150,-223246454.56998226,-1967720148.459367,805158.0
151,-225998586.68396378,-1982724617.201831,804369.0
152,-203891821.78723782,-1999027824.5268605,799093.5
153,-207898620.04519284,-1991620226.6407063,798429.5
154,-223296784.93054807,-1942460189.5358322,797154.5
155,-222178774.59513503,-1955411774.3709023,796082.5
156,-211227599.72261053,-1961172237.0228782,795938.5
157,-210223514.86148265,-1952810130.2786765,793314.5
158,-220109728.07621995,-1957772775.9063587,792655.0
159,-219091194.31513083,-1960618120.5420132,792217.0
160,-210151435.28853506,-1978308567.4537685,790730.0
161,-218452885.5821743,-1958220103.9962037,784930.5
162,-209203411.53038093,-1959839669.4369416,780657.0
163,-206160488.30517823,-1955547909.5687308,771717.0
