反復回数,回転角度θ（度）,スケールs,目的関数値J,勾配ノルム,∂J/∂θ,∂J/∂s
0,0.05838319542217829,1.0015496522648335,884583.5,2059914725.1676774,-231313103.0,-2046886153.0
1,0.11658569326623218,1.0031003420431492,884583.5,2059954284.5681615,-229582471.8180425,-2047120793.4913473
2,0.17460821101257654,1.004652064521174,884583.5,2059992500.3859544,-227851849.74789047,-2047352592.0595212
3,0.2324514631951209,1.0062048149116782,884583.5,2060029393.8314724,-226121236.7631316,-2047581570.9598422
4,0.2906703339156962,1.0077702046986863,883420.0,2080106694.4488244,-227340474.72453448,-2067646045.3479068
5,0.3502302358043658,1.0093003199321005,882921.0,2017193008.4248915,-232124240.13651302,-2003792896.0796597
6,0.4120453337927449,1.0107971011833157,884263.5,1988666249.4584646,-243184823.9852929,-1973741268.028421
7,0.47198424072976625,1.0122954515419726,884649.0,1990966965.9440496,-235415951.48224148,-1976999946.7041383
8,0.5335712341448263,1.0138131957237824,886709.5,2004554837.2882097,-239715605.6494621,-1990169973.6715136
9,0.5928063142897209,1.0153313943766706,885502.0,2004868794.243541,-229331746.15451774,-1991709274.0501235
10,0.6506230352494923,1.016852562250913,885654.5,2008885315.2043798,-221967885.92022955,-1996584700.7487323
11,0.7086917349023493,1.0183766643090804,886073.5,2010030102.4819286,-222270364.49603584,-1997702905.3265934
12,0.7672964071223242,1.01990587312229,886466.0,2022382496.917784,-224500813.81641737,-2009883167.8570714
13,0.8266960623812668,1.0214378614665793,888022.0,2031391312.147946,-225156103.5655418,-2018874783.6597834
14,0.888658815531761,1.0229816760774055,886649.0,2039595770.3503282,-233120707.30003688,-2026229415.011755
15,0.9522567183158688,1.0245208380126316,885067.5,2034187930.5967524,-241986825.50111496,-2019743279.050432
16,1.0151943090069913,1.0260605826076923,881005.0,2033703720.7331893,-238402640.82644838,-2019681906.7791328
17,1.0766989558215188,1.0275733709146517,883256.0,2003079330.1397438,-231146138.84319723,-1989698033.7053576
18,1.139249833631571,1.0290783177493419,882478.0,1997620155.1111417,-233230345.4109776,-1983958137.1807566
19,1.2002383231935256,1.0305741279500233,884456.5,1978742706.4568727,-227051562.90321955,-1965672985.5546865
20,1.2611655046402779,1.0320349056091151,884758.5,1929342006.6124074,-227109614.60114628,-1915928443.7146678
21,1.3211371945040005,1.0334858732476457,884071.5,1921593009.425545,-222913700.45494682,-1908619704.3996494
22,1.3852820913067065,1.0349414339129628,881530.5,1912148224.2119794,-237208779.47114477,-1897377881.7881365
23,1.4541824870567175,1.0364044742594551,885767.5,1912375466.0512161,-256939098.3917278,-1895036206.2167182
24,1.5223551943367333,1.0378722777868035,885910.0,1915041954.7025857,-254461827.08743995,-1898060817.4730392
25,1.5891126076284414,1.039350080805168,884320.5,1923108501.3477275,-246563596.17078465,-1907236928.3859918
