反復回数,∂J/∂θ,∂J/∂s,目的関数J
0,-855105725.211599,-1609613096.1139116,881528.0
1,-862351271.3444293,-1620811271.060492,879644.5
2,-846979685.3666197,-1592919333.7131343,880307.5
3,-854876497.1692802,-1599271213.883596,879619.5
4,-855326089.1074761,-1593463983.0107324,878526.0
5,-857788350.1035202,-1602969011.0559163,878159.0
6,-861528412.3304703,-1597929333.855852,875130.5
7,-867504112.891608,-1603653118.756827,874180.5
8,-863831965.2814903,-1602269074.3369281,874208.5
9,-871353369.4529507,-1608297128.1229856,872063.5
10,-857243320.9775894,-1608599840.5229113,870543.0
11,-845710889.9995517,-1600500118.929638,870659.5
12,-845045858.759674,-1601627365.781571,871286.0
13,-857263095.417984,-1607483777.4664712,871841.0
14,-856449423.2121774,-1603965075.8609881,872113.0
15,-857351081.1921351,-1578961852.784419,872251.0
16,-859775931.5062686,-1587311890.475935,873922.0
17,-858599197.7198441,-1581624019.4422836,873610.0
18,-848481045.0108492,-1571427658.3288713,873345.0
19,-861066346.5572125,-1570262005.620473,873762.5
20,-849502294.5330541,-1568362848.7984896,871499.0
21,-844950594.3643967,-1571687979.5427027,871686.5
22,-841808562.6843452,-1567369925.8490963,870393.5
23,-840162269.166141,-1556840522.2773423,872002.0
24,-832146062.490967,-1550903465.8638816,870770.0
25,-832835240.3034058,-1552080733.9457297,872782.0
26,-834294938.3369135,-1553456594.5168102,874047.5
27,-836009214.1830182,-1545628606.4515405,875170.5
28,-849229018.8869307,-1540284251.4648173,873638.5
29,-836897943.1629984,-1547497692.0961845,873329.5
30,-838886683.7350562,-1524048642.2876415,872720.5
31,-836976372.6394293,-1522288219.391274,871371.0
32,-832382669.8871722,-1523505755.2935884,871561.5
33,-845350158.2249577,-1536462370.5195837,869572.0
34,-837363204.0286816,-1551245394.9411814,869749.5
35,-833623407.7508216,-1540789894.790987,868691.0
36,-830685533.8787253,-1546190521.1033235,867745.5
37,-810532353.7839229,-1543772710.9683368,868590.0
38,-817337835.0367819,-1560695326.7106385,865954.0
39,-814910547.1222517,-1568504554.5469718,864508.0
40,-813953577.8874702,-1563834128.816019,866521.0
41,-812513218.6900411,-1568085864.2479184,863591.5
42,-807803640.2833245,-1573522370.9724813,863066.5
43,-810970500.8900425,-1582970437.5369046,865641.0
44,-811515850.5382928,-1584569540.0882478,864263.0
45,-807530605.052021,-1568061821.0116606,867350.0
46,-816915142.0583029,-1576128678.1968129,866194.0
47,-821985580.1132904,-1572174720.6654444,864981.5
48,-830606196.5311017,-1575635589.8424315,862209.0
49,-823160880.7048802,-1576916841.0052562,860432.5
50,-823700059.604121,-1577345568.5023332,862945.5
51,-821607942.3530169,-1571336899.7958744,862325.5
52,-823567458.1116838,-1570686755.030947,862625.0
53,-819353849.7396042,-1570113117.1304615,861996.0
54,-810832123.0515131,-1587164176.5427384,860404.5
55,-806061969.4167756,-1582316012.5295217,862124.5
56,-806802662.3745058,-1585184130.3936496,863042.5
57,-810898057.3712373,-1591931878.3802366,861143.0
58,-809878609.2312546,-1587639670.2770932,859836.0
59,-808277671.8077497,-1576219152.200856,860756.0
60,-819263177.6235787,-1572169606.7110708,862704.5
61,-820699589.7613986,-1577272820.2961311,860706.5
62,-814128174.0127901,-1573232202.914385,862011.0
63,-825623407.0726249,-1564159621.0591307,862665.0
64,-834238674.6111014,-1565371192.0340922,862912.5
65,-837411779.8091644,-1564206167.2399378,863961.0
66,-837121860.673329,-1561509154.4732697,863354.5
67,-844019015.8220212,-1563661946.6244044,862404.5
68,-838373033.6839209,-1552749563.5759194,863966.5
69,-829891163.0530237,-1547627832.2177896,864718.0
70,-843861156.0990741,-1560504644.4877353,864296.5
71,-848741982.9159248,-1573013171.4621906,865333.0
72,-829312764.1991146,-1567740580.685404,865552.0
73,-809779516.2258661,-1568593698.015184,865892.5
74,-802792075.6145414,-1563610115.2753558,863910.5
75,-800057669.1708059,-1583257460.0694911,865343.0
76,-795143201.5181272,-1565351593.2366567,865477.0
77,-788352606.0655077,-1550962564.6517184,865363.0
78,-777469711.9172118,-1553650029.7003193,865413.5
79,-776723507.4538026,-1542585996.7261372,862947.5
80,-773114005.8574291,-1536911776.7532907,861931.5
81,-769699809.8893347,-1552311599.373169,861385.0
82,-776975482.8801289,-1559527834.1138783,860293.5
83,-779880915.578768,-1553630484.1647103,860012.5
84,-786835839.0247805,-1553340487.0923638,859740.0
85,-788357652.565085,-1552316900.1121497,857944.0
86,-790889339.7428718,-1552975747.9605854,857852.5
87,-781926049.6421738,-1539785102.953941,856495.5
88,-755516196.7744789,-1526897819.141697,854442.0
89,-746811793.7805278,-1523559823.664064,856699.0
90,-743808661.7216818,-1529744869.398026,857880.0
91,-734831228.0504864,-1522832048.0135064,858189.5
92,-730182075.6031218,-1518606502.3877072,855980.0
93,-738595891.3738302,-1523113584.5410733,858011.5
94,-754633336.7483308,-1528536738.7873213,857010.5
95,-736887918.8033297,-1536912341.6218596,858178.5
96,-726986088.0592402,-1548705980.9771516,858519.0
97,-741958048.2255461,-1557958934.7871714,858256.5
98,-728047379.3727005,-1554986708.2177856,858529.5
99,-739498961.0710104,-1557736367.3122828,860341.0
100,-748691395.0144639,-1554862026.9291596,859390.5
101,-749381342.9618016,-1564999486.0275888,859957.5
102,-745977490.8225243,-1542826475.1843722,857612.5
103,-739326891.8837852,-1525753165.436851,857985.0
104,-727985672.6524612,-1509582115.9409156,857797.0
105,-726473435.5171037,-1511725555.4612267,858981.5
106,-718812662.7436272,-1522757171.682366,853251.0
107,-715951231.5588409,-1512997489.4682593,851911.5
108,-719641944.5507116,-1521832050.3308969,850928.5
109,-728598923.5589387,-1514364829.9896924,847938.5
110,-746669083.1084266,-1523607822.3092754,847182.5
111,-749575951.3014858,-1518298384.2392542,848290.0
112,-762255198.0397685,-1546753604.7208312,853189.0
113,-764350329.8080356,-1549841894.2388198,851887.0
