反復回数,回転角度θ（deg）,スケールs
0,-9.92860951019987,1.5010015145130025
1,-9.856005815151127,1.5020115936002447
2,-9.784288557901503,1.5030063546588226
3,-9.71121325334625,1.5040051380856583
4,-9.638049496478354,1.5050013479757602
5,-9.56514722428134,1.5060099109841545
6,-9.491443785140005,1.5070137177202532
7,-9.416788345095569,1.508023117997707
8,-9.341792433388964,1.5090336475501323
9,-9.265867089471307,1.5100442075783769
10,-9.19135180935793,1.5110626572577874
11,-9.1183677936476,1.5120783412850014
12,-9.044536270139107,1.5130958276271906
13,-8.968671533900613,1.5141129662684718
14,-8.892701897122055,1.5151261135290897
15,-8.81538672551671,1.5161164998022494
16,-8.737933849541017,1.5171182858201626
17,-8.659340366326722,1.5181195301422736
18,-8.580924843368416,1.519118654781231
19,-8.500184214828717,1.520111510268442
20,-8.42076255725723,1.521110555173139
21,-8.34125641625505,1.522115896473449
22,-8.261580790424613,1.5231195637392574
23,-8.18188090792385,1.5241163547974246
24,-8.102451399786181,1.5251109300583896
25,-8.022786908324008,1.5261056205966923
26,-7.942192606326553,1.5271029285171627
27,-7.860602632024301,1.5280977655704076
28,-7.776193526096884,1.529086159836781
29,-7.693633707115795,1.5300916274986158
30,-7.61071796431072,1.5310812894146117
31,-7.528530944036733,1.5320786792013295
32,-7.446828324016665,1.5330784161239592
33,-7.3634370225733425,1.5340858558566002
34,-7.28047560848453,1.5351099313567678
35,-7.197007223414405,1.5361266804078537
36,-7.1130046865805845,1.5371498287862098
37,-7.0312849101560575,1.5381870522873757
38,-6.948478202796364,1.5392394651264707
39,-6.866743227099266,1.540304607073136
40,-6.784986965201327,1.5413709438616319
41,-6.703376056469172,1.5424432104815409
42,-6.622637590216681,1.5435234390562835
43,-6.541022571201372,1.5446120066306455
44,-6.459241832434168,1.5457068171501438
45,-6.3773656334655,1.5467963482001887
46,-6.29320642886514,1.5478907628336738
47,-6.207799619187772,1.5489826164288925
48,-6.120488669649089,1.550079897896573
49,-6.034603311580951,1.551185845241092
50,-5.9489689947364,1.5522971798801062
51,-5.863485503073029,1.5534071705510624
52,-5.777234305734486,1.554517528805733
53,-5.691357222437822,1.5556314743759458
54,-5.606687687354359,1.5567701975242711
55,-5.522116091034557,1.5579095932830156
56,-5.436494974297558,1.5590507212253646
57,-5.350594984515714,1.560199756290053
58,-5.264022429637002,1.5613518574996064
59,-5.176191012038185,1.5624953864536453
60,-5.086656649698068,1.5636368100030418
61,-4.996651808174771,1.564789535748687
62,-4.907146823178871,1.5659422220375447
63,-4.81524793469219,1.5670908142589701
64,-4.721394368484816,1.5682395026137783
65,-4.626572839017267,1.5693862286548352
66,-4.531165348574885,1.5705363405709063
67,-4.434067560768135,1.5716942299571977
68,-4.3358102640219505,1.5728519586229295
69,-4.239212563032694,1.574012078505187
70,-4.1412940679372685,1.5751843560098535
71,-4.042725785201669,1.5763722089153227
72,-3.9460046168305394,1.577558849861279
73,-3.8521947419087823,1.5787557837516155
74,-3.7578410197268104,1.5799524618749483
75,-3.6628112522421037,1.5811705534428695
76,-3.567070418196317,1.5823889187331914
77,-3.471637074172753,1.5836006819483772
78,-3.3777547428515784,1.5848215819369675
79,-3.2849963004687277,1.5860371539094156
80,-3.1925995767576723,1.5872512992747592
81,-3.100647750881969,1.5884804003576611
82,-3.006792945987916,1.5897183601931997
83,-2.910964671852944,1.5909536555655113
84,-2.813749734795753,1.5921930369792456
85,-2.7160693257947495,1.5934418339323275
86,-2.6160840729705703,1.594698943946983
87,-2.5170847984114966,1.5959513983004054
88,-2.421339648470641,1.5971949309099402
89,-2.3277790869005934,1.5984356163901308
90,-2.233988761641022,1.5996856487320705
91,-2.141325852867505,1.600934197871196
92,-2.0484880097798532,1.602187000958721
93,-1.9536673014711552,1.6034489260441203
94,-1.85703533522387,1.6047262926115464
95,-1.7615158954563304,1.6060171436495092
96,-1.6656239148837932,1.60732475714487
97,-1.5666400727685224,1.6086444584085204
98,-1.4692330292473852,1.6099671066433536
99,-1.3707499017155484,1.6112948695460467
100,-1.2697595961258794,1.6126249136964912
101,-1.1681374507535935,1.6139640794759031
102,-1.0658428638375346,1.6152845310586834
103,-0.9634104646737257,1.6165959648294441
104,-0.8618258314504035,1.617895779532215
105,-0.760285060537883,1.6192074313978282
106,-0.6589375471158396,1.6205429256074775
107,-0.5588179381706089,1.621879075547052
108,-0.45716976006044696,1.6232253798323755
109,-0.354833679445951,1.6245667246448579
110,-0.249460177906533,1.6259204547949988
111,-0.14453501265602012,1.6272774718706584
112,-0.03728634951201049,1.6286720648469886
113,0.07015634002332598,1.6300768473919518
114,0.17470370670224913,1.6314994579071636
115,0.2803188655416585,1.6329589664061788
116,0.39276006094871846,1.6344374044361467
117,0.506114706150775,1.6359143977603692
118,0.6182693529245293,1.637388330278444
119,0.7339029340360506,1.6388692461864167
120,0.8484283254929819,1.6403628927871359
121,0.9607891724184956,1.6418750344070197
122,1.07264721996208,1.6433911671164705
123,1.1874145951920596,1.6449360122729408
124,1.304614930781845,1.6464745302429675
125,1.4212731212309604,1.6480133355986668
126,1.5377559257971773,1.6495628676564749
127,1.652815848139558,1.6511118300999668
128,1.7655816225120888,1.6526632545983662
129,1.8784785401104032,1.6542266505028431
130,1.9962280278645446,1.655827862696301
131,2.1126283485176955,1.6574287738361084
132,2.231788336269962,1.6590387955148103
133,2.348997830766419,1.660655059520637
134,2.4623136469143136,1.662254865545878
135,2.574985986248667,1.6638738222176743
136,2.6911424272368882,1.6654893036643208
137,2.809329008307526,1.667093579991646
138,2.927467430589054,1.6686871550642515
139,3.0458473314947443,1.6703043456061732
140,3.164704003115182,1.6719408523309651
141,3.2840819879480083,1.67357076411126
142,3.4034156525200876,1.6751995737279337
143,3.5238811183204235,1.6768381371269492
144,3.6464645683276338,1.6784812886453453
145,3.770832111694982,1.6801366371247435
146,3.896940289177099,1.6818088776076214
147,4.020780675161701,1.6834654733104242
148,4.144669943509115,1.6851238975737668
149,4.267295224692755,1.6867893380718493
150,4.391500491063505,1.6884672115923314
151,4.516028707804411,1.690175319315904
152,4.643292731864187,1.691895318111004
153,4.770531400728799,1.6935870645371376
154,4.900629554455479,1.6952989960166474
155,5.034731565373381,1.6970363026694024
156,5.1691619780677645,1.6987896013016213
157,5.3040690370069274,1.7005658954471476
158,5.439009022611758,1.7023566523638947
159,5.574161196683968,1.7041615819633271
160,5.712351358014923,1.705992845359482
161,5.850737530385152,1.7078288106287602
162,5.990277345685571,1.709682724239557
163,6.1300204696680956,1.7115425869301057
164,6.266806470660236,1.7134116416701124
165,6.4007963119176186,1.7152750320027674
166,6.537001671209545,1.717145808417677
167,6.674381326755449,1.7190112327685707
168,6.811989809977265,1.72087603583102
169,6.9479639405370195,1.7227351677951246
170,7.085631548877384,1.724626604948996
171,7.221832286550173,1.7265252624195908
172,7.358744797481356,1.7284332556523272
173,7.492728237934038,1.730331498292132
174,7.625543992121096,1.732209305601354
175,7.753341054201727,1.7340845331671741
176,7.881455598324134,1.7359612637466653
177,8.01249901690381,1.7378581104112067
178,8.143532275318579,1.7397321130959713
179,8.272975959349358,1.7415988556335302
180,8.401203778200783,1.7434313380871604
181,8.530638461456768,1.7452821379407746
182,8.660303563855441,1.7471560505154398
183,8.792123499917173,1.7490474877699562
184,8.926398682341633,1.7509437623380117
185,9.058857754438524,1.752840215686561
186,9.191781077094335,1.7547341413799749
187,9.325925947863809,1.7566567663766515
188,9.459701695365458,1.7585888149450644
189,9.594017735242204,1.7605496947474635
190,9.724377697290699,1.7624831970857024
191,9.857535397772189,1.7644172075138231
192,9.99197412956631,1.7663847090774527
193,10.126106179860043,1.7683668212010626
194,10.260771380862604,1.770357816822355
195,10.39322847303693,1.7723163802011213
196,10.52319716232884,1.7742508124960439
197,10.654286886022414,1.7761914359405528
198,10.785970639518343,1.7781847243209954
199,10.917851024612416,1.7802028457060326
200,11.046554583612691,1.7822138351489492
201,11.177640263896901,1.7842377442903388
202,11.303694503023776,1.7862027811764967
203,11.431164579286065,1.7881774114201705
204,11.556018346751593,1.7901583014478415
205,11.682236664719667,1.7921463656202363
206,11.80625985529926,1.794118069771091
207,11.928808539978855,1.7960852260553595
208,12.046230671875122,1.798042064994011
209,12.15979671913193,1.799961365388861
210,12.275483005316609,1.801905027449747
211,12.390557807861091,1.8038660245996787
212,12.502981611037354,1.8058027394542222
213,12.61640743566563,1.8077406175706603
214,12.725635420663597,1.8096482579454434
215,12.832166113877202,1.8115287843313264
216,12.937998250288727,1.8134118196898594
217,13.043815394761868,1.8152889994842267
218,13.145638970129726,1.817152696727522
219,13.247217955386956,1.8190115059296232
220,13.349754669829476,1.8208811425277158
221,13.45312691725765,1.8227697802210607
222,13.556559135425193,1.8246516145673792
223,13.657525691842178,1.8265315186215854
224,13.756088274667194,1.8284002121342822
225,13.852551803428264,1.830292554449056
226,13.948802525272438,1.8321751805616737
227,14.046163923918916,1.8340548313021519
228,14.142090152878755,1.8359595931164734
229,14.236018420522793,1.8378512314429623
230,14.32623689101242,1.8397089559508375
231,14.41226470468253,1.8415659941704627
232,14.496585856881074,1.8434154408935925
233,14.579932217970722,1.8452868539482294
234,14.661462524524715,1.847155623143291
235,14.743249295211598,1.84903851465945
236,14.823139559049723,1.8509117806691864
237,14.904522246745799,1.8528152617775022
238,14.98609929899911,1.8547385002225776
239,15.067272955938545,1.8566638640439965
240,15.148317045375506,1.8585821227228083
241,15.229337820863037,1.8604994757488376
242,15.307863350539412,1.8624013946498525
243,15.386471605369524,1.8642843109592224
244,15.464246831219,1.866168644155797
245,15.539261159001972,1.8680250265084477
246,15.615162426436036,1.8698758092785033
247,15.691520314731486,1.8717408980256705
248,15.768090785480938,1.8735966812930782
249,15.844856885018668,1.8754513876928371
250,15.92307409218212,1.877317910024648
251,15.999328713867046,1.879161981710855
252,16.074069715049614,1.8809964540661408
253,16.1493181133719,1.8828377400103775
254,16.224021328231835,1.8846711829071658
255,16.29725211157899,1.8865007808309453
256,16.369354461476547,1.888333259058761
257,16.441960342403693,1.8901961603770576
258,16.514560115153234,1.892057318369664
259,16.58657954234051,1.893924274692703
260,16.65924740962741,1.8958034188562394
261,16.732677483150695,1.8976946209430543
262,16.80377025930434,1.8995647111824998
