反復回数,∂J/∂θ,∂J/∂s,目的関数J
0,-691143282.0,-1602132212.0,858537.5
1,-687364190.4048971,-1602971244.1488528,858537.5
2,-682168567.9347479,-1597013110.2731512,858235.0
3,-677065548.2518569,-1614391439.3444386,856338.5
4,-678790366.3925703,-1620728086.525494,854391.0
5,-670067979.1990265,-1630779081.1876895,854998.0
6,-689770538.1260597,-1651185455.4268694,854888.5
7,-691421476.0363313,-1652713006.3073962,855370.0
8,-698590329.9440699,-1652604252.1692216,853190.5
9,-704070237.2348247,-1670798115.9430914,850827.0
10,-702662963.8926287,-1660876356.806904,849002.0
11,-703106450.9993238,-1669412239.031952,846273.0
12,-710842520.009187,-1663617007.971875,841978.0
13,-708616666.3034601,-1655822332.745057,842987.5
14,-701560434.9573956,-1667937363.2636027,843540.5
15,-703633450.2809486,-1687805050.8542004,846926.0
16,-716562984.1997283,-1677019395.7583854,847414.5
17,-706900231.6556085,-1682132847.4906542,848262.5
18,-709538490.5458763,-1680208552.9655151,846824.5
19,-714391666.5293198,-1662193434.7077558,843244.0
20,-715455807.8889171,-1664297625.6013029,841009.5
21,-714645409.5874494,-1694637063.1016352,840470.0
22,-719989536.2623553,-1698467794.9008512,840105.0
23,-729377634.153348,-1704706898.67656,844418.0
24,-727796607.8111882,-1684993869.6979437,841448.5
25,-744620759.6555606,-1675724507.060482,839080.5
26,-745602815.7132385,-1688458055.9008503,840764.5
27,-744965576.7962298,-1702741104.8752625,838493.5
28,-732543382.9751035,-1674676646.7945385,836528.0
29,-738234901.6701696,-1665172040.9111116,834818.0
30,-743352766.8248591,-1675720048.1909611,832252.5
31,-756449745.7015518,-1700309673.099744,828972.5
32,-741372794.6227617,-1695333696.452917,831110.0
33,-736425208.4015837,-1696168691.9732854,828937.5
34,-717099349.0514573,-1707381617.1629524,827895.5
35,-712994044.7403442,-1690205465.2697423,826387.5
36,-708711565.3581582,-1691092738.1094797,825374.0
37,-703820730.4396137,-1688838386.5915663,822467.5
38,-696313335.5675229,-1692740648.59088,821306.5
39,-685424328.40167,-1695623939.0737631,821689.5
40,-692021008.9443655,-1714341305.2014751,820670.0
41,-695174169.3026849,-1717808644.2598066,819031.5
42,-698132057.4076972,-1716219300.176362,817606.0
43,-704743156.6794621,-1716666155.035041,816247.5
44,-709141712.7416632,-1708078658.8588057,816626.0
45,-694211413.103383,-1704365296.4261763,815803.0
46,-687044627.9566078,-1705274624.2495706,814437.5
47,-675648603.7935756,-1719843380.154664,814252.5
48,-669136434.8801455,-1711455152.8852515,811495.0
49,-668869225.5395114,-1717073132.1416278,809684.0
50,-666204941.19943,-1732697168.3782578,811674.0
51,-660150598.3938022,-1757262619.4664478,804516.0
52,-664508588.4492611,-1767001500.2818825,803794.5
53,-649743310.9035195,-1771040023.2175834,803996.0
54,-653913070.4062207,-1775584023.466288,807337.0
55,-649187814.3823197,-1764726867.3500683,808057.0
56,-627885220.4192753,-1772340401.3371892,807886.5
57,-614568178.1485939,-1782966253.0983717,803754.5
58,-622159847.480134,-1793840284.6728942,800935.0
59,-621523749.6439968,-1798637807.2808087,801709.0
60,-613849917.9368577,-1801262685.8832808,803281.5
61,-604130772.415942,-1782687699.6310842,806697.5
62,-621675273.2188861,-1773467124.3896577,805216.0
63,-626347566.0269887,-1762123387.8523006,803856.5
64,-617592480.7969875,-1765208596.3046253,803401.5
65,-610676457.4237744,-1759826366.9833653,803529.0
66,-602693193.7350976,-1754870792.2188559,804026.5
67,-613551421.0120565,-1750266218.474969,806492.5
68,-617858438.931813,-1767256415.2185655,805381.0
