反復回数,∂J/∂θ,∂J/∂s,目的関数J
0,-56670103.0,-2993203989.0,906390.5
1,-56133224.36818123,-2993215587.8417854,906390.5
2,-55596348.1747172,-2993227027.767358,906390.5
3,-55059474.409486055,-2993238309.9782553,906390.5
4,-54522603.0624209,-2993249435.6663437,906390.5
5,-53382163.66106515,-3032596746.369279,906431.0
6,-45387559.70750162,-3012771661.4128914,905575.0
7,-57990469.01713349,-2946363155.5302877,905116.5
8,-44066983.54602562,-2922163094.837682,907966.5
9,-31362289.960812144,-2912814883.613497,907462.5
10,-40253312.07441847,-2933760803.804932,904395.0
11,-34802161.37339513,-2984402983.225025,905361.0
12,-38014054.667843856,-3025944705.4500427,904250.0
13,-42580278.91496004,-3043362315.425044,902359.0
14,-42570964.90227538,-3015601678.2376375,903060.0
15,-46314737.14379718,-3013917004.0958567,902522.5
16,-61761256.26358211,-3020514397.880657,902972.5
17,-24283297.486012287,-2991453126.958583,902050.5
18,-48558989.60099158,-3027493011.9740586,903616.5
19,-29282336.666438125,-3023453526.357912,909263.5
20,-37617899.47734845,-2999283334.554288,907173.5
21,-52465639.715712845,-3024895564.554373,907097.5
22,-64194006.835268065,-3009959803.651484,906175.5
23,-80671019.48014864,-2984186773.8149204,903831.0
24,-80714595.7578883,-2984010470.9320564,907251.5
25,-73771187.22542104,-2975602513.115284,905525.0
26,-90375358.12153341,-2948162521.033511,905522.5
27,-77978657.30764389,-2926706509.354226,905484.0
28,-95911346.06798404,-2916589620.898544,906206.0
29,-93519082.17968749,-2936682997.336068,906204.0
30,-100596885.21705094,-2945654553.284871,908521.5
31,-97247256.55981275,-2928980734.7345743,908848.5
32,-88288212.7145219,-2916674630.8513675,908178.5
33,-91471602.52753612,-2886927599.945189,907424.0
34,-75703397.73221709,-2909715061.071125,905218.0
35,-83683999.91444282,-2905466334.412079,905045.0
36,-88882690.88716489,-2927630583.5777407,902809.5
37,-55365357.33567142,-2933080144.465802,904911.0
38,-28541875.705386497,-2848751160.7372723,902308.5
39,-17795933.74595412,-2826732306.489741,904281.5
40,-7761863.381809264,-2849217402.559555,905077.0
41,-9388944.811827958,-2858741156.3016176,902474.5
42,-19844143.887184456,-2899777906.3367996,897672.5
43,-31451296.850974895,-2892689760.5090322,895712.0
44,-33551706.059177943,-2894335883.9262733,892808.5
45,-34165703.84737162,-2920107935.368791,891076.0
46,-39707380.31166998,-2927545313.0846496,888862.0
47,-39047950.94854463,-2919608634.518032,887874.0
48,-52694136.98041423,-2910938468.0631485,885945.5
49,-52651211.94920774,-2907856129.823726,885956.5
50,-50690664.08649657,-2858822005.6034226,887319.5
51,-55977690.394156,-2857703013.593562,887013.0
52,-37457754.19519254,-2827533662.677393,887519.5
53,-34635271.35473037,-2868642942.99763,887644.5
54,-14353793.157243423,-2837254356.231088,887806.5
55,-36601431.16877127,-2807575506.703843,889919.0
56,-23511310.94847896,-2767993193.0664463,888508.5
57,-7221463.8276033625,-2736738287.627063,886799.0
58,34288684.00193037,-2766769006.973522,888991.5
59,5398904.7972727865,-2782026166.359269,891709.5
60,9313991.515286084,-2794883581.6488895,893672.5
61,9568713.799332015,-2781754075.491762,894623.0
62,-15120523.034932092,-2788186516.6964054,897471.5
63,-6032655.329530537,-2794374790.394655,898216.0
64,-20832677.300014272,-2781573112.630718,896844.5
65,-37812111.83753874,-2777628847.622487,893679.0
66,-20846138.212269537,-2753220900.15785,896239.0
67,-14703322.79725343,-2758652398.021575,894975.0
68,-34406409.36336849,-2762653063.9238176,896903.5
69,-29912214.79708591,-2750644227.616166,896204.5
70,-34530361.21021447,-2726165976.547306,895627.0
71,-37355957.87047109,-2698457384.53463,897525.5
72,-47957997.99817817,-2676136636.574399,897090.5
73,-71715436.8294425,-2677387896.701618,897616.0
74,-64165384.64142787,-2713118326.8225317,899285.5
75,-65282309.275480226,-2737472058.732395,899118.0
76,-59371493.23680001,-2750944291.02183,896801.5
77,-90333532.85557611,-2771845052.552945,897432.0
78,-80628323.8657465,-2776074979.665319,897067.0
79,-106856021.9645497,-2784053385.665427,899793.5
80,-125992015.40587306,-2780202535.87903,897886.0
81,-149092274.47951382,-2825008625.43533,899244.5
82,-157586767.79705578,-2811797808.1803436,895808.0
