反復回数,∂J/∂θ,∂J/∂s,目的関数J
0,-11162624604.0,-112475581460.0,42511715.0
1,-11155461577.625004,-112476535058.12943,42511715.0
2,-11148298552.151182,-112477487416.43416,42511715.0
3,-11141135527.578014,-112478438536.25049,42511715.0
4,-11133972503.904993,-112479388418.91345,42511715.0
5,-11040715796.94074,-112570139689.76585,42488800.0
6,-11204949245.856886,-112339521768.28224,42495827.5
7,-10937749946.898867,-112323517689.78554,42501124.5
8,-10879596295.583221,-112202904967.31085,42505421.0
9,-10816325488.071856,-112029809212.72533,42501200.5
10,-10782409321.01177,-111933459691.29262,42481383.5
11,-10791750001.224642,-111858518735.24068,42478173.5
12,-10886817801.874857,-111889776418.79834,42483473.5
13,-10923627317.791498,-111899422600.50636,42495746.5
14,-11057265141.813738,-111958886632.36203,42474511.0
15,-10959232974.245384,-112077939942.1274,42478678.0
16,-10956081233.169075,-112159515310.05469,42462416.0
17,-11012077417.568914,-111942086774.364,42469398.0
18,-11104474542.325533,-112099698286.62314,42477373.0
19,-11154293635.090462,-112110791648.62344,42471688.0
20,-11082234152.295025,-112126378363.08539,42469175.0
21,-11192356986.82513,-112296592870.19705,42478494.5
22,-11057567393.452839,-112220503160.81387,42462218.5
23,-11096206417.27103,-112125422271.12659,42462651.5
24,-11181854438.007856,-112147558907.19281,42461354.5
25,-11061185127.286226,-112165044162.16557,42450953.0
26,-10896830400.718708,-111872733907.18375,42463318.0
27,-10918205749.439743,-111656776951.77106,42459127.0
28,-11072373962.82675,-111532851707.99567,42459474.5
29,-11120214159.375416,-111991488507.07954,42464471.0
30,-11257591413.798803,-112197494399.98698,42461972.0
31,-11027815072.797728,-112390097734.24147,42465297.5
32,-11062732509.19835,-112408031020.58269,42461488.5
33,-10975790753.042788,-112488065325.61012,42446906.0
34,-10999466090.299627,-112357841497.30916,42451075.5
35,-11063536306.315985,-112465928991.4826,42443215.0
36,-10950953742.676895,-112661580093.89249,42435261.5
37,-11048521269.729362,-112637116873.65752,42439506.5
38,-10978392246.655472,-113078361808.74751,42440357.0
39,-10896142546.58767,-112901055614.43445,42435231.0
40,-10838661343.516527,-112854826987.43872,42443277.5
41,-10926761615.849009,-112740211966.84036,42433202.0
42,-10963641123.421059,-112908181654.7332,42428143.0
43,-10809890160.104221,-112828397004.75905,42443774.0
44,-10944522847.4623,-112818966775.39479,42435859.5
45,-10884668375.067945,-112867311638.93909,42416038.5
46,-10868739780.966848,-112841089302.16225,42419703.0
47,-10994328554.203962,-112997604197.79445,42416878.0
48,-10947485232.201706,-113050247429.6868,42404059.5
49,-10898844606.61271,-113052347570.83694,42385871.5
50,-10892516325.140213,-113068074173.68013,42383492.5
51,-10970141975.281876,-113095823375.3249,42373939.5
52,-10973288997.693497,-113169386450.6802,42381513.5
