反復回数,回転角度θ（deg）,スケールs
0,0.004896759109433198,1.0002196439413102
1,0.009791367586416772,1.0004392951860108
2,0.014683826776020864,1.000658953729291
3,0.01957413802226006,1.0008786195663437
4,0.024462302668094352,1.0010982926923662
5,0.029310168267725804,1.0013183183362415
6,0.034228419089103894,1.001537782474767
7,0.03904989455513288,1.0017572706532099
8,0.04384485206063955,1.0019764464591085
9,0.04860868422756482,1.0021951367832571
10,0.05335413711746946,1.0024133791111165
11,0.05810418848700043,1.0026314688728009
12,0.06289906019233994,1.0028497001595043
13,0.06770711269336722,1.0030680528690556
14,0.07257712981374292,1.0032865046751973
15,0.07740540752271712,1.00350516086919
16,0.08223058731733217,1.003723988510099
17,0.08708933782652173,1.0039422001030767
18,0.09198770674727569,1.004160854689137
19,0.09690657756500036,1.0043795205185575
20,0.10180855567107362,1.004598313261829
21,0.10675203142163484,1.0048175569841031
22,0.11164931296213192,1.005036567021411
23,0.11655918793391794,1.0052552830462023
24,0.12149914861701992,1.0054741244871963
25,0.12637802700270062,1.005692950948233
26,0.13119524701818386,1.0059110752582467
27,0.1360209248608047,1.0061285686941341
28,0.14091502149095772,1.0063455588102348
29,0.14582494614853736,1.0065634007775441
30,0.15080319935283257,1.006781911293487
31,0.15567765948263962,1.0070006326288634
32,0.16057060204441767,1.0072193891110262
33,0.16543219541330556,1.0074384599903277
34,0.17030892485552857,1.0076572540421245
35,0.17520605170150957,1.0078762291614038
36,0.18005835559497915,1.0080956001371515
37,0.18494937506034795,1.0083148840680471
38,0.18980991458734195,1.0085348753365107
39,0.1946396340346493,1.0087543863502952
40,0.19945771621013592,1.008973794788151
41,0.20430731666841292,1.0091929058607598
42,0.20917533389110618,1.0094126044718685
43,0.21398735973708505,1.0096318782572338
44,0.21886843198109868,1.0098511800991945
45,0.2237272868761314,1.0100705950832605
46,0.22858704744349323,1.0102899046462408
47,0.23350389952750814,1.010509466470539
48,0.2384002180599345,1.010728978599667
49,0.24325972996431433,1.0109481941701144
50,0.24811897602663743,1.0111673092201474
51,0.2530292494722231,1.0113864984627463
52,0.2579371205689801,1.0116057850041011
53,0.26285659073014156,1.0118252190186334
54,0.2677781907332804,1.0120447942027404
