反復回数,∂J/∂θ,∂J/∂s,目的関数J
0,-56078436048.0,-480067014940.0,884583.5
1,-56075399581.364365,-480067441568.3324,884583.5
2,-56072363114.72951,-480067868159.5078,884583.5
3,-56069326648.095474,-480068294713.5283,884583.5
4,-56066290181.46222,-480068721230.396,884583.5
5,-56063253714.82977,-480069147710.1127,884583.5
6,-56060217248.19807,-480069574152.6808,884583.5
7,-56057180781.56723,-480070000558.1023,884583.5
8,-56054144314.93716,-480070426926.3792,884583.5
9,-56051107848.307846,-480070853257.5134,884583.5
10,-56048071381.67938,-480071279551.5072,884583.5
11,-56045034915.05167,-480071705808.3627,884583.5
12,-56041998448.424736,-480072132028.0817,884583.5
13,-56038961981.79863,-480072558210.6665,884583.5
14,-56035925515.17333,-480072984356.11914,884583.5
15,-56032889048.548775,-480073410464.4415,884583.5
16,-56029852581.92503,-480073836535.63574,884583.5
17,-56026816115.3021,-480074262569.7041,884583.5
18,-56023779648.67995,-480074688566.64844,884583.5
19,-56020743182.05859,-480075114526.471,884583.5
20,-56017706715.43802,-480075540449.1736,884583.5
21,-56014670248.81825,-480075966334.75854,884583.5
22,-56011633782.199295,-480076392183.22766,884583.5
23,-56008597315.581116,-480076817994.5831,884583.5
24,-56005560848.963715,-480077243768.82715,884583.5
25,-56002524382.34712,-480077669505.96155,884583.5
26,-55999487915.73131,-480078095205.9885,884583.5
27,-55996451449.11632,-480078520868.9103,884583.5
28,-55993414982.50206,-480078946494.72845,884583.5
29,-55990378515.88863,-480079372083.4455,884583.5
30,-55987342049.27599,-480079797635.06335,884583.5
31,-55984305582.66417,-480080223149.584,884583.5
32,-55981269116.0531,-480080648627.0097,884583.5
33,-55978232649.44286,-480081074067.3423,884583.5
34,-55975196182.8334,-480081499470.58386,884583.5
35,-55972159716.22474,-480081924836.73676,884583.5
36,-55969123249.61684,-480082350165.80273,884583.5
37,-55966086783.00974,-480082775457.78394,884583.5
38,-55963050316.40345,-480083200712.6824,884583.5
39,-55960013849.79793,-480083625930.5002,884583.5
40,-55956977383.19324,-480084051111.23944,884583.5
41,-55953940916.58935,-480084476254.90234,884583.5
42,-55950904449.98619,-480084901361.49054,884583.5
43,-55947867983.38388,-480085326431.0065,884583.5
44,-55944831516.782326,-480085751463.452,884583.5
45,-55941795050.18159,-480086176458.82935,884583.5
46,-55938758583.58162,-480086601417.1405,884583.5
47,-55935722116.98247,-480087026338.38745,884583.5
48,-55932685650.384094,-480087451222.57227,884583.5
49,-55929649183.78652,-480087876069.6971,884583.5
50,-55926612717.18974,-480088300879.76404,884583.5
51,-55923576250.59373,-480088725652.7749,884583.5
52,-55920539783.99855,-480089150388.73206,884583.5
53,-55917503317.404144,-480089575087.63745,884583.5
54,-55914466850.81052,-480089999749.49304,884583.5
55,-55911430384.21768,-480090424374.301,884583.5
56,-55908393917.62567,-480090848962.06335,884583.5
57,-55905357451.03443,-480091273512.7821,884583.5
58,-55902320984.44399,-480091698026.4595,884583.5
59,-55899284517.85433,-480092122503.0973,884583.5
60,-55896248051.2655,-480092546942.6979,884583.5
61,-55893211584.67738,-480092971345.263,884583.5
62,-55890175118.09014,-480093395710.7949,884583.5
63,-55887138651.503654,-480093820039.2957,884583.5
64,-55884102184.91796,-480094244330.7674,884583.5
65,-55881065718.33306,-480094668585.212,884583.5
66,-55878029251.74895,-480095092802.6315,884583.5
