反復回数,回転角度θ（度）,スケールs,目的関数値J,勾配ノルム,∂J/∂θ,∂J/∂s
0,0.005886772131769635,1.0001429881863448,884479.0,31180186932.42234,-3644895316.0,-30966413988.0
1,0.011771860995416026,1.0002859869281733,884479.0,31180247754.838318,-3642234419.3140373,-30966788314.060986
2,0.017655267188630665,1.0004289962209583,884479.0,31180308377.899002,-3639573522.744122,-30967162206.334286
3,0.023536991308905315,1.0005720160601748,884479.0,31180368801.902092,-3636912626.2902308,-30967535665.13422
4,0.029417033953532002,1.0007150464413002,884479.0,31180429027.1451,-3634251729.9523296,-30967908690.774895
5,0.035295395719603044,1.0008580873598143,884479.0,31180489053.925335,-3631590833.7303987,-30968281283.57018
6,0.041172077204011046,1.0010011388111988,884479.0,31180548882.53995,-3628929937.6244082,-30968653443.833763
7,0.04704707900344889,1.001144200790938,884479.0,31180608513.28588,-3626269041.6343303,-30969025171.879086
8,0.05292040171440977,1.0012872732945182,884479.0,31180667946.459892,-3623608145.7601385,-30969396468.019394
9,0.05879204593318719,1.001430356317428,884479.0,31180727182.35856,-3620947250.001805,-30969767332.567715
10,0.06466201225587495,1.0015734498551585,884479.0,31180786221.27827,-3618286354.359306,-30970137765.836853
11,0.0705303012783672,1.0017165539032025,884479.0,31180845063.515244,-3615625458.8326116,-30970507768.139423
12,0.07639691359635836,1.0018596684570555,884479.0,31180903709.36548,-3612964563.4216933,-30970877339.787792
13,0.08226184980534328,1.0020027935122153,884479.0,31180962159.124813,-3610303668.126528,-30971246481.09413
14,0.08812511050061705,1.0021459290641814,884479.0,31181020413.088886,-3607642772.9470863,-30971615192.37039
15,0.0939866962772752,1.002289075108456,884479.0,31181078471.553173,-3604981877.8833413,-30971983473.92833
16,0.09984660773021353,1.0024322316405438,884479.0,31181136334.812943,-3602320982.935266,-30972351326.07946
17,0.10570484545412827,1.0025753986559511,884479.0,31181194003.163273,-3599660088.1028366,-30972718749.135094
18,0.11156141004351601,1.0027185761501867,884479.0,31181251476.899067,-3596999193.3860188,-30973085743.406334
19,0.11741630209267367,1.0028617641187616,884479.0,31181308756.315067,-3594338298.784792,-30973452309.20408
20,0.12326952219569867,1.003004962557189,884479.0,31181365841.70578,-3591677404.2991285,-30973818446.838985
21,0.12912107094648873,1.0031481714609847,884479.0,31181422733.36557,-3589016509.9289985,-30974184156.62153
22,0.13497094893874198,1.0032913908256662,884479.0,31181479431.588577,-3586355615.674376,-30974549438.86194
23,0.140819156765957,1.0034346206467537,884479.0,31181535936.668808,-3583694721.5352335,-30974914293.87027
24,0.14666569502143278,1.0035778609197694,884479.0,31181592248.900032,-3581033827.511545,-30975278721.95633
25,0.15251056429826876,1.0037211116402376,884479.0,31181648368.575874,-3578372933.603284,-30975642723.42974
26,0.15835376518936478,1.0038643728036851,884479.0,31181704295.98975,-3575712039.8104215,-30976006298.599895
27,0.16419529828742116,1.0040076444056407,884479.0,31181760031.43489,-3573051146.132932,-30976369447.77597
28,0.1700351641849387,1.0041509264416355,884479.0,31181815575.20436,-3570390252.5707874,-30976732171.26695
29,0.17587336347421853,1.004294218907203,884479.0,31181870927.591026,-3567729359.123963,-30977094469.381588
30,0.1817098967473625,1.0044375217978787,884479.0,31181926088.88757,-3565068465.7924294,-30977456342.428436
31,0.18754476459627267,1.0045808351092005,884479.0,31181981059.386494,-3562407572.5761566,-30977817790.715828
32,0.19337796761265183,1.0047241588367082,884479.0,31182035839.380123,-3559746679.4751225,-30978178814.551903
33,0.1992095063880031,1.0048674929759442,884479.0,31182090429.16058,-3557085786.4893007,-30978539414.24456
34,0.20503938151363024,1.005010837522453,884479.0,31182144829.019817,-3554424893.618659,-30978899590.10151
35,0.21086759358063745,1.005154192471781,884479.0,31182199039.249607,-3551764000.863174,-30979259342.430244
36,0.2166941431799295,1.0052975578194774,884479.0,31182253060.14152,-3549103108.222818,-30979618671.53804
37,0.22251903090221167,1.0054409335610932,884479.0,31182306891.98696,-3546442215.6975617,-30979977577.73197
38,0.22834225733798982,1.0055843196921819,884479.0,31182360535.07714,-3543781323.287383,-30980336061.318893
39,0.23416050163091545,1.005727679695957,885156.0,31214640524.268456,-3539322654.0983725,-31013335489.90641
40,0.23996780018159963,1.0058712683497368,885650.0,31236179292.290394,-3535743522.4879003,-31035421932.41935
41,0.24581458813712354,1.0060152262970294,884360.5,31357454706.295353,-3563740090.1197734,-31154288986.067997
42,0.25165765384722993,1.0061584048145222,884058.0,31194927340.06885,-3561812802.910461,-30990917722.926476
43,0.25750876749344664,1.0063015409690574,883084.0,31212657586.215786,-3572744771.0577946,-31007506968.397717
44,0.26330319389394435,1.0064432800828247,883134.0,30961753328.093204,-3529989908.3289843,-30759865740.877125
45,0.2691917173394484,1.0065849197083157,883595.5,30891966310.342117,-3562305821.5404115,-30685885350.648296
46,0.27510623716000776,1.0067273399780348,881284.0,30952792071.698853,-3566461576.727916,-30746637033.26832
47,0.28093888626278946,1.0068695050659575,880091.0,30851705618.92532,-3515008177.810565,-30650814950.12413
48,0.2868702066423577,1.0070118644153765,881044.0,30872383447.33905,-3584888720.246119,-30663539139.880547
49,0.2928773879684267,1.0071538808283271,882507.5,30788001037.20992,-3620199042.626749,-30574420137.73938
50,0.2988669482684645,1.0072955274172608,882241.0,30701422067.390606,-3600329299.4712744,-30489587499.594475
51,0.304787878074224,1.0074373306052895,882081.5,30735402388.974236,-3556107046.995198,-30528987252.813908
52,0.3108371813574067,1.0075789604069392,883638.0,30693348136.826336,-3633485876.226515,-30477522869.08638
53,0.31689391338207734,1.007720458325616,882753.5,30675227180.550243,-3638707326.7026687,-30458650192.826485
54,0.32290241089475075,1.0078620901745379,881783.0,30716541041.05587,-3617078572.9533634,-30502829969.10207
55,0.3289780944474936,1.008003470227347,882275.5,30679023212.321842,-3673850309.9587274,-30458254860.746677
56,0.33504289121134206,1.0081446151464057,882398.0,30610254046.200634,-3649541640.29276,-30391915020.09558
57,0.34110569652080575,1.0082852306110783,883637.5,30494116723.615887,-3639411891.529615,-30276159529.195625
58,0.3471983147569835,1.0084255971145788,882981.5,30429550592.442726,-3656143001.095407,-30209107362.078285
59,0.3533836573166671,1.0085659309898176,882410.0,30428553100.792236,-3728507359.2587886,-30199256227.259735
60,0.3596495746528178,1.0087060722139165,884448.0,30408761071.646248,-3796866379.8140173,-30170789774.321556
61,0.3659308704887848,1.0088459442128168,884620.5,30349833280.22823,-3806676945.3523927,-30110157601.237686
62,0.3723250741337697,1.008984856236978,884730.0,30154017035.84033,-3870366626.3188295,-29904598401.844925
63,0.3786872546632777,1.0091232523944198,884880.5,30078810814.15852,-3847584072.444128,-29831710591.23854
64,0.38499506722733484,1.0092615643041596,884761.5,30116095632.109695,-3820831823.803061,-29872737743.578014
65,0.39123694033000644,1.0093996751844538,884263.5,30113372130.887543,-3778592156.314112,-29875364807.97441
66,0.39747423106345026,1.0095377918488675,884466.0,30158840120.208977,-3797734520.4992175,-29918770862.255276
67,0.40373255862727814,1.0096758684462679,884112.0,30145286628.677193,-3813606942.199435,-29903088603.278294
68,0.4099088266090126,1.0098142643451953,885285.0,30200632840.297863,-3750339962.3360257,-29966867939.7995
69,0.41606359097755713,1.0099527174719252,884680.5,30203740956.779007,-3730758546.4746723,-29972444152.122726
70,0.4221623126604101,1.0100913276681596,883932.5,30230681003.725296,-3689454069.42772,-30004699675.527176
71,0.4282920516571816,1.0102298305861928,883446.5,30206322758.265938,-3713115522.8481545,-29977236491.886955
72,0.43446383460360716,1.0103683542029833,884868.5,30212240124.8292,-3724193695.8934655,-29981825072.4636
73,0.4406435406168421,1.010507242660516,885255.5,30280153213.756138,-3697343469.13105,-30053574328.519066
74,0.44689718076320506,1.0106465449865725,885946.0,30347537276.351868,-3732583983.497417,-30117118646.140514
75,0.4531296217102464,1.0107858110598626,885675.5,30330751560.897247,-3720568804.5426345,-30101691946.12713
76,0.4593151380900382,1.0109251570124445,886463.0,30354770308.024384,-3695667221.296122,-30128958233.60569
77,0.4655083047869874,1.0110644502201411,886289.0,30343019349.814953,-3710205617.8159847,-30115331602.63674
78,0.47169781302689656,1.011203862467197,886762.0,30364365509.61077,-3703911711.2981915,-30137613223.945724
79,0.477928985945734,1.01134303905201,886823.0,30308788728.889965,-3734067903.210174,-30077889073.316013
80,0.48417789162488306,1.011482071473339,886927.5,30279297227.394733,-3753633248.236579,-30045733108.42402
81,0.49041599524699464,1.0116211643736417,887395.0,30298701747.69075,-3744625466.0748367,-30066411620.184113
82,0.49655026523617385,1.0117610478320336,886701.0,30483044014.504566,-3682155543.764767,-30259836465.879074
83,0.5026428554545521,1.0119009581013656,886550.0,30482129114.197002,-3654372181.3922067,-30262282783.928303
84,0.50867669478106,1.0120407728336211,885799.5,30448370156.486103,-3617748476.3542604,-30232683326.959747
85,0.5147179684774944,1.0121804572873112,886314.5,30417881634.011013,-3624726772.8753877,-30201140357.98491
86,0.5206863758122519,1.012320178827388,886961.5,30400309795.54382,-3574084571.1942725,-30189480869.054184
87,0.5265784534974591,1.0124596821590428,885327.0,30339656475.057983,-3521863995.0478883,-30134552079.38079
88,0.5324534915635831,1.0125993453254565,885726.5,30363745018.037807,-3513450605.556281,-30159785747.958023
89,0.538296896194862,1.012738916631956,885459.0,30336202937.94476,-3490370000.425399,-30134739520.2331
90,0.5441367680832269,1.0128787791308749,886329.5,30378211334.773556,-3486021426.4486175,-30177531020.85235
91,0.5499426655325746,1.0130191667969264,886144.0,30472677831.009377,-3470870029.920971,-30274364657.708122
92,0.5557363421132736,1.0131596372404097,886066.5,30492900537.46144,-3463602189.6884565,-30295551539.113815
93,0.5615294157870183,1.0132999702161152,885934.5,30457273952.84326,-3469302995.6402025,-30259039531.40262
94,0.5673573681393953,1.0134402140823804,885454.5,30437212121.707928,-3490631767.106558,-30236391511.030388
95,0.5731781012636875,1.0135803501613558,885245.5,30419418922.112064,-3497660837.6831617,-30217667286.266273
96,0.5789991566091377,1.0137208247334928,885231.0,30486328140.55374,-3491459273.8623056,-30285737825.45969
97,0.5848049231715436,1.01386134179611,885141.0,30494594664.09704,-3482303781.5121183,-30295112874.86551
98,0.590636742516335,1.0140017571570674,884478.0,30476436550.207027,-3506786521.2197676,-30274009200.853893
99,0.5964262493573984,1.0141422004035745,884309.5,30476138975.85207,-3472454638.410171,-30277666780.312405
100,0.6022084330689629,1.0142826509308838,884402.5,30487318460.46703,-3479066449.891355,-30288160781.849632
101,0.6080069124390955,1.014423385279732,885121.0,30546724258.21351,-3485848011.4626346,-30347178230.410675
102,0.6137947784601878,1.0145641426437917,885887.5,30548852436.718597,-3479650693.916238,-30350031569.15551
103,0.619613681035098,1.014704893871329,886763.0,30538617963.37175,-3499331872.501055,-30337466333.87287
104,0.6254441126419572,1.0148456924907483,886800.5,30542732380.462963,-3505676389.414691,-30340875635.3089
105,0.6312331431784802,1.014986437383478,886923.0,30527874944.62452,-3473175499.43749,-30329658761.429226
106,0.6369975204200883,1.0151271294031836,886827.5,30504389792.94753,-3454455949.9464808,-30308159474.47091
107,0.6427831714139052,1.0152679864687475,886611.5,30536185857.823944,-3462832860.5160537,-30339206240.831306
108,0.6485858980713621,1.0154088964691579,886203.5,30547163273.209347,-3474798974.419613,-30348887230.46501
109,0.6543511254001609,1.0155496913360427,886844.0,30513103536.633175,-3448258607.1923733,-30317635132.29915
110,0.6601338947889144,1.0156908345685134,886511.5,30599074315.310547,-3457347131.2933207,-30403126480.144035
111,0.6658575365967503,1.015832007864098,887018.0,30610377851.66254,-3418313018.3208976,-30418914647.474365
112,0.6715722014294945,1.0159732713081597,886532.0,30625362835.83878,-3407734197.3882565,-30435180243.703594
113,0.6772697515574662,1.0161143689967282,886983.5,30598910787.154865,-3402029033.856933,-30409201564.87271
114,0.6829572823530723,1.0162554320363784,887298.5,30588260543.225266,-3393698215.5438128,-30399416038.50387
115,0.6886214469322307,1.0163964668671714,886225.0,30575583667.00303,-3372716967.3965235,-30388996311.75301
116,0.6942839939482601,1.016537486360313,885961.0,30581697945.278194,-3373985540.024247,-30395007333.309525
117,0.6999667362311774,1.0166784214853286,886100.0,30573383542.234055,-3386979566.844137,-30385196241.49774
118,0.7056631484790513,1.0168199681487333,885243.0,30693032476.494427,-3388797647.443209,-30505381379.484917
119,0.7113740942712786,1.0169615510451244,885953.5,30687884868.540527,-3397383538.748114,-30499246921.775658
120,0.7170795869293833,1.0171033742733857,886515.0,30713220576.83776,-3393306239.600434,-30525192726.103783
121,0.7227751142603289,1.0172451407049714,886050.5,30715550750.883896,-3384709203.2952566,-30528491635.50752
122,0.728502505336019,1.017386699328698,886543.0,30691713978.68539,-3405312107.1263995,-30502215598.25598
123,0.734233332310037,1.0175276859915852,886117.5,30574185743.41787,-3408593295.5099173,-30383586450.89189
124,0.7399653446977486,1.0176686197305178,885920.5,30547349075.44595,-3406994834.230435,-30356760725.35862
