反復回数,∂J/∂θ,∂J/∂s,目的関数J
0,-56119371498.0,-479189414164.0,884479.0
1,-56116344204.01684,-479189840808.6461,884479.0
2,-56113316910.03448,-479190267416.2313,884479.0
3,-56110289616.05288,-479190693986.75745,884479.0
4,-56107262322.07209,-479191120520.2268,884479.0
5,-56104235028.0921,-479191547016.64124,884479.0
6,-56101207734.11288,-479191973476.0029,884479.0
7,-56098180440.13445,-479192399898.31384,884479.0
8,-56095153146.1568,-479192826283.5761,884479.0
9,-56092125852.179924,-479193252631.7918,884479.0
10,-56089098558.20392,-479193678942.9629,884479.0
11,-56086071264.228645,-479194105217.09155,884479.0
12,-56083043970.254166,-479194531454.1797,884479.0
13,-56080016676.280464,-479194957654.2295,884479.0
14,-56076989382.30759,-479195383817.243,884479.0
15,-56073962088.33548,-479195809943.22217,884479.0
16,-56070934794.36415,-479196236032.1691,884479.0
17,-56067907500.39363,-479196662084.086,884479.0
18,-56064880206.42391,-479197088098.97473,884479.0
19,-56061852912.45494,-479197514076.8375,884479.0
20,-56058825618.48679,-479197940017.6763,884479.0
21,-56055798324.519424,-479198365921.4929,884479.0
22,-56052771030.55285,-479198791788.2898,884479.0
23,-56049743736.58704,-479199217618.06885,884479.0
24,-56046716442.62204,-479199643410.83215,884479.0
25,-56043689148.657845,-479200069166.58185,884479.0
26,-56040661854.69443,-479200494885.31976,884479.0
27,-56037634560.7318,-479200920567.04816,884479.0
28,-56034607266.76996,-479201346211.7689,884479.0
29,-56031579972.80889,-479201771819.48425,884479.0
30,-56028552678.84867,-479202197390.1961,884479.0
31,-56025525384.88921,-479202622923.9067,884479.0
32,-56022498090.93049,-479203048420.61786,884479.0
33,-56019470796.97261,-479203473880.3317,884479.0
34,-56016443503.015526,-479203899303.05054,884479.0
35,-56013416209.05921,-479204324688.7761,884479.0
36,-56010388915.10368,-479204750037.5106,884479.0
37,-56007361621.148964,-479205175349.256,884479.0
38,-56004334327.195015,-479205600624.0144,884479.0
39,-56001307033.24186,-479206025861.7879,884479.0
40,-55998279739.289505,-479206451062.57855,884479.0
41,-55995252445.33792,-479206876226.3882,884479.0
42,-55992225151.38713,-479207301353.21924,884479.0
43,-55989197857.43713,-479207726443.0735,884479.0
44,-55986170563.48793,-479208151495.9531,884479.0
45,-55983143269.539505,-479208576511.8601,884479.0
46,-55980115975.59189,-479209001490.7965,884479.0
47,-55977088681.64507,-479209426432.7644,884479.0
48,-55974061387.69902,-479209851337.76575,884479.0
49,-55971034093.75374,-479210276205.80273,884479.0
50,-55968006799.80926,-479210701036.8775,884479.0
51,-55964979505.8656,-479211125830.99194,884479.0
52,-55961952211.92273,-479211550588.1481,884479.0
53,-55958924917.98062,-479211975308.3479,884479.0
54,-55955897624.03929,-479212399991.5936,884479.0
55,-55952870330.098785,-479212824637.88745,884479.0
56,-55949843036.15904,-479213249247.23096,884479.0
57,-55946815742.22012,-479213673819.6268,884479.0
58,-55943788448.28195,-479214098355.0763,884479.0
59,-55940761154.34457,-479214522853.5823,884479.0
60,-55937733860.40803,-479214947315.14636,884479.0
61,-55934706566.47221,-479215371739.7706,884479.0
62,-55931679272.53721,-479215796127.45715,884479.0
63,-55928651978.60301,-479216220478.20795,884479.0
64,-55925624684.66959,-479216644792.02527,884479.0
65,-55922597390.73698,-479217069068.9109,884479.0
66,-55919570096.805115,-479217493308.86694,884479.0
67,-55916542802.874084,-479217917511.8957,884479.0
68,-55913515508.943825,-479218341677.9989,884479.0
69,-55910488215.01433,-479218765807.1788,884479.0
70,-55907460921.08565,-479219189899.4373,884479.0
71,-55904433627.15775,-479219613954.7766,884479.0
72,-55901406333.23064,-479220037973.19867,884479.0
73,-55898379039.30435,-479220461954.70557,884479.0
74,-55895351745.37881,-479220885899.2993,884479.0
75,-55892324451.45405,-479221309806.9821,884479.0
76,-55889297157.530106,-479221733677.75574,884479.0
77,-55886269863.60694,-479222157511.62256,884479.0
78,-55883242569.684586,-479222581308.5844,884479.0
79,-55880215275.76301,-479223005068.6433,884479.0
80,-55877187981.84221,-479223428791.80145,884479.0
81,-55874160687.922195,-479223852478.0609,884479.0
82,-55871133394.003,-479224276127.42346,884479.0
83,-55868106100.08456,-479224699739.89136,884479.0
84,-55865078806.16692,-479225123315.4668,884479.0
85,-55862051512.25006,-479225546854.15155,884479.0
86,-55859024218.333984,-479225970355.9479,884479.0
87,-55855996924.41869,-479226393820.8576,884479.0
88,-55852969630.50423,-479226817248.88293,884479.0
89,-55849942336.590546,-479227240640.02606,884479.0
90,-55846915042.677635,-479227663994.28864,884479.0
91,-55843887748.765495,-479228087311.67303,884479.0
92,-55840860454.85417,-479228510592.1813,884479.0
93,-55837833160.94365,-479228933835.8152,884479.0
94,-55834805867.033905,-479229357042.577,884479.0
95,-55831778573.12491,-479229780212.46875,884479.0
96,-55828751279.21672,-479230203345.4926,884479.0
97,-55825723985.30936,-479230626441.6503,884479.0
98,-55822696691.40277,-479231049500.9441,884479.0
99,-55819669397.49695,-479231472523.376,884479.0
100,-55816642103.59195,-479231895508.948,884479.0
101,-55813614809.6877,-479232318457.66235,884479.0
102,-55810587515.78427,-479232741369.52075,884479.0
103,-55807560221.8816,-479233164244.5255,884479.0
104,-55804532927.97973,-479233587082.6787,884479.0
105,-55801505634.078636,-479234009883.9822,884479.0
106,-55798478340.17838,-479234432648.4381,884479.0
107,-55795451046.27885,-479234855376.0485,884479.0
108,-55792423752.380165,-479235278066.8154,884479.0
109,-55789396458.48224,-479235700720.741,884479.0
110,-55786369164.585106,-479236123337.82715,884479.0
111,-55783341870.68872,-479236545918.07605,884479.0
112,-55780314576.79318,-479236968461.48956,884479.0
113,-55777287282.89841,-479237390968.0698,884479.0
114,-55774259989.00441,-479237813437.81885,884479.0
115,-55771232695.11123,-479238235870.73883,884479.0
116,-55768205401.21883,-479238658266.83167,884479.0
117,-55765178107.327194,-479239080626.0995,884479.0
118,-55762150813.43637,-479239502948.5442,884479.0
119,-55759123519.54636,-479239925234.1681,884479.0
120,-55756096225.65709,-479240347482.9729,884479.0
121,-55753068931.7686,-479240769694.96094,884479.0
122,-55750041637.88095,-479241191870.13403,884479.0
123,-55747014343.99403,-479241614008.4945,884479.0
124,-55743987050.10795,-479242036110.04407,884479.0
125,-55740959756.22264,-479242458174.78503,884479.0
126,-55737932462.33808,-479242880202.71936,884479.0
127,-55734905168.4544,-479243302193.849,884479.0
128,-55731877874.57145,-479243724148.17615,884479.0
129,-55728850580.689255,-479244146065.70276,884479.0
130,-55725823286.8079,-479244567946.43085,884479.0
131,-55722795992.92731,-479244989790.36255,884479.0
132,-55719768699.04753,-479245411597.4998,884479.0
133,-55716741405.1685,-479245833367.8448,884479.0
134,-55713714111.2903,-479246255101.39954,884479.0
135,-55710686817.412865,-479246676798.1659,884479.0
136,-55707659523.53623,-479247098458.14606,884479.0
137,-55704632229.66035,-479247520081.34204,884479.0
138,-55701604935.785286,-479247941667.756,884479.0
139,-55698577641.91102,-479248363217.3898,884479.0
140,-55695550348.03751,-479248784730.2455,884479.0
141,-55692523054.16481,-479249206206.3254,884479.0
142,-55689495760.29289,-479249627645.6311,884479.0
143,-55686468466.42178,-479250049048.165,884479.0
144,-55683441172.55144,-479250470413.9291,884479.0
