反復回数,∂J/∂θ,∂J/∂s,目的関数J
0,31019964.0,-2268863002.0,864103.5
1,31126678.11733377,-2268862264.414899,864103.5
2,31233391.923828922,-2268861528.0586767,864103.5
3,31340105.421064653,-2268860792.931552,864103.5
4,31362076.81382853,-2257018414.938704,864015.5
5,31473072.93446935,-2258160329.078793,859511.5
6,31553972.349008147,-2257349393.6510253,861316.0
7,31622405.33786108,-2253471246.7107763,862195.5
8,31690149.718823057,-2253093903.466403,863349.0
9,31753924.953321762,-2254042339.8596067,863819.5
10,31833016.456309285,-2244785392.5945673,866491.0
11,31531040.34438003,-2239500708.413647,865129.5
12,29473683.483007103,-2238080194.630396,863388.0
13,30752525.570615698,-2240900013.4164453,860607.0
14,32400029.711754963,-2251961878.8890886,862147.0
15,34026561.66808762,-2253260896.627957,858144.0
16,31465588.352374945,-2253184184.9617863,862345.0
17,31887255.93967136,-2250782799.110379,860031.5
18,31053031.810842928,-2248833256.8622904,859660.0
19,31389607.43835916,-2247931483.094681,859894.5
20,30975794.391224634,-2249247002.799973,861674.5
21,32806870.475776568,-2250165780.2345304,862094.0
22,32882865.730619233,-2248512627.48662,863610.5
23,31407080.874424618,-2250064269.572426,862614.0
24,31423189.03875952,-2249466481.799716,860393.0
25,31597194.276544236,-2252065010.232231,859070.5
26,31629099.470067948,-2256868160.142063,859265.5
27,31718154.461135387,-2259663284.186184,859984.5
28,31715074.076155584,-2253393996.6304502,861256.5
29,35555671.72923948,-2251272630.3685503,862184.5
30,36924759.72559772,-2235914379.53057,862568.0
31,36364850.57259457,-2230733581.834289,862505.5
32,36384701.54761016,-2230537579.944379,863242.5
33,36206224.25845903,-2226476237.775137,863191.5
34,35882718.7882999,-2225157158.8693085,863283.5
35,34664647.793503106,-2224338089.415532,860098.0
36,36252527.87256979,-2229959228.337511,860506.5
37,36209894.32980343,-2231641839.4734554,861981.0
38,36375962.667018294,-2237135678.2262344,860242.5
39,36725874.87607186,-2229027983.495856,861865.0
40,34794518.508893274,-2231437606.9834394,857535.0
41,34774645.545694344,-2233476315.175288,859495.0
42,35983787.78913401,-2238437565.170189,860238.5
43,35950542.3424537,-2237393214.114106,862770.0
44,34515964.63839714,-2239393752.175905,858410.0
45,34426248.84897217,-2240537352.100191,859285.0
46,36655246.799436286,-2242573118.050846,860304.0
47,38713004.36217433,-2242668517.102463,858221.5
48,38212917.09274647,-2239275841.5509815,863227.0
49,37243079.62111625,-2228293943.916765,861690.5
50,37219508.142643794,-2226354961.182114,863457.0
51,37182125.68719232,-2223078480.0546494,864272.0
52,38143986.45001118,-2219286820.750052,862568.5
53,38137095.5208122,-2218689285.427331,859777.0
54,38726476.591423765,-2216730066.096005,857854.5
55,39010643.65688648,-2211824805.5076585,857873.5
56,38459589.85090546,-2210444630.019538,854552.5
57,37333165.915831156,-2208540603.492656,855422.0
58,37614979.44379367,-2212943275.585019,857079.5
59,37754481.26800273,-2212531902.120255,857160.5
60,36843454.69659117,-2216513137.8860326,858325.5
61,36888353.2757728,-2212154650.9807706,857245.5
62,35646437.77335517,-2213300258.9370575,858480.5
63,33766324.99368431,-2207387255.169278,856388.0
64,33636906.247754455,-2207019422.8028507,854360.0
65,33904906.376971565,-2209501453.533474,853228.0
66,34090280.12179251,-2208637266.515881,851092.5
67,33733484.259414434,-2206228027.074319,851752.0
68,33784995.981555015,-2207326591.5929694,857543.0
69,34098931.28195642,-2204464440.4681664,855584.0
70,34398090.63791273,-2200243201.739922,856358.0
71,36132190.146445595,-2202292494.951436,856510.0
72,36100044.78614022,-2203435651.7778378,855518.0
73,34721341.694142684,-2201640540.3528748,859171.5
74,35814822.749605194,-2199234964.5291276,857981.5
75,36101545.71450765,-2201125618.981944,855628.5
76,36273624.67139727,-2199001100.2886996,852089.5
77,36277233.94872268,-2196799563.769927,851318.5
78,36166130.46584803,-2194685505.541813,853075.0
79,36213252.11664294,-2192795074.066282,853474.5
80,36333045.16776176,-2187502351.3728952,851104.5
81,35760387.12015935,-2191533850.5045543,851497.5
82,35848160.59065154,-2193662336.3479357,851115.5
83,36033621.986448444,-2198212337.502633,850554.0
84,35746886.1216468,-2193211548.0082474,851933.0
85,33825676.82921556,-2193832103.0163155,852060.0
86,32339376.099430762,-2187402135.4822316,852221.5
87,33048427.58215133,-2186090391.9544067,854337.5
88,33827704.80293436,-2182957077.0333824,852848.0
89,33521481.53421671,-2179577980.377594,853657.0
