反復回数,∂J/∂θ,∂J/∂s,目的関数J
0,-1437413857.6587448,-604092726.6876504,924854.5
1,-1454914818.2988484,-603948194.4494435,923966.5
2,-1459836433.2572868,-607718140.5690744,924218.0
3,-1471060233.086215,-604332954.5194678,923317.0
4,-1460981803.8498795,-595240811.8686686,923526.0
5,-1447274960.4620342,-591531330.0042667,922869.0
6,-1432526481.9541652,-593612835.2480161,923102.5
7,-1418056304.632471,-589282880.0900667,923466.0
8,-1420529141.2108793,-589685156.4307578,924444.5
9,-1432774224.230339,-594698701.2834595,923911.0
10,-1450657991.8316178,-601190145.5442381,925153.5
11,-1452805220.7640984,-605430607.9949199,923693.5
12,-1453958105.811293,-604822359.7714945,922722.0
13,-1477971672.7459393,-610145534.6573249,922528.5
14,-1477558518.9657145,-610904509.1150892,923205.0
15,-1486497284.7075276,-611222784.6375724,923739.0
16,-1466875200.247255,-601592344.1402354,924673.5
17,-1460685923.316183,-605187849.5800482,924430.0
18,-1468193772.6518183,-606172033.9099867,923329.0
19,-1473761168.1107733,-610028804.6306052,923864.5
20,-1466338858.4965403,-613441966.5456045,922586.0
21,-1473638358.2098298,-617082521.6462314,920062.5
22,-1464786084.5949287,-614964760.0624889,918613.5
23,-1479198881.4139166,-618662143.6025581,917849.5
24,-1479405950.8530731,-617128730.0227334,918664.5
25,-1484025145.128881,-621635626.7926824,918070.0
26,-1473202739.710805,-618713544.4976029,916184.5
27,-1454541155.6487489,-610206163.7974539,915580.0
28,-1430737181.3522983,-608019591.9171877,915275.0
29,-1419458835.9965377,-603435527.1236103,915684.5
30,-1416921704.7904167,-605918700.9010494,915629.5
31,-1416677891.465714,-605017647.5984765,915574.0
32,-1432103009.8733757,-606494849.8129492,915827.5
33,-1440028177.5592499,-610660966.0517607,915369.0
34,-1452152037.5567694,-607728612.8813401,915452.0
35,-1449642407.0910244,-608801400.03641,915401.0
36,-1425259372.7487001,-603956376.8562803,914641.5
37,-1425498398.4508262,-599409016.0831021,915433.0
38,-1444727253.438188,-604044726.4543885,916296.0
39,-1439041899.2016723,-595114093.8664225,916553.5
40,-1440283848.441214,-599142500.8795706,915502.5
41,-1411489548.4202676,-596996460.2069728,914013.5
42,-1439666886.8140807,-613068759.1055238,914661.0
43,-1455802279.3572488,-611600552.9373202,913818.5
44,-1436289661.9284654,-604054835.5544364,914937.0
45,-1438932977.7942154,-604137186.3990874,915018.0
46,-1450250173.88108,-611722968.5934563,916672.5
47,-1444201533.2258134,-615851807.7053907,917259.0
48,-1438565807.7065156,-610063182.1817756,916139.5
49,-1439479866.991581,-618964808.3126141,917035.5
50,-1449297719.5457628,-623013500.3104165,916909.5
51,-1433228476.033914,-619348768.6306832,917350.5
52,-1445092674.6879687,-620807670.3117236,917320.0
53,-1426187808.0502756,-615347629.599545,917416.0
54,-1444369629.0003347,-618487935.45551,918859.0
55,-1439066337.6248274,-615005324.1098456,918967.5
56,-1429379363.513616,-614246538.4773631,919149.0
57,-1439008923.6904821,-611991708.4921982,920324.0
58,-1425222909.3487632,-605716010.474629,920974.5
59,-1428360751.6287591,-609957403.814403,921405.0
60,-1438455165.006994,-612414093.6708899,922258.5
61,-1445962855.814795,-617115160.4096904,923285.5
62,-1459832698.7582378,-618011527.883963,924930.0
63,-1463766897.870301,-624594161.9838485,926694.5
64,-1456206863.4556804,-619555696.9146706,926423.0
65,-1458056165.2744255,-621754527.0803716,925520.5
66,-1457281971.9518487,-618191538.6102393,925545.0
67,-1415115659.709886,-605869366.714762,925533.5
68,-1411497660.6451874,-606951062.1612024,924028.5
69,-1409674802.3603415,-605019118.747241,924028.0
70,-1402669521.1891885,-597998919.4444423,923933.5
71,-1410754602.4965699,-606018933.2519625,924756.0
72,-1414487707.7241247,-601177362.0199555,926535.5
73,-1424159510.7786627,-607789457.1181693,926629.5
74,-1436691167.9899044,-613414909.1772327,926297.0
75,-1435421022.0539124,-616424597.5300059,927555.0
76,-1431154356.1178532,-609049537.2615623,927171.0
77,-1433147803.2233503,-617150710.9234395,927395.0
78,-1444013694.8393936,-614667020.9075896,928282.0
79,-1441212500.5957534,-614428827.038553,927428.5
80,-1439661887.5072246,-613280298.585423,927000.5
81,-1439875376.6633196,-613777799.0701828,925323.5
82,-1434067643.233838,-613554287.2094457,924056.0
83,-1422292681.3072705,-614883469.563762,922702.0
84,-1439470817.8737988,-625195071.3562332,924701.5
85,-1434350223.1040292,-623820152.0446925,925675.0
86,-1432012485.884606,-624800593.5438426,926623.5
