反復回数,回転角度θ（deg）,スケールs
0,-59.97569389398157,1.500678137882289
1,-59.95038461291835,1.5013293978691604
2,-59.9251319873711,1.5019882960104478
3,-59.89901474394217,1.502614348443678
4,-59.87260524259472,1.5032115791158587
5,-59.846581117903554,1.503808929499249
6,-59.82150321480631,1.504438258196091
7,-59.7968529371367,1.5050688787004214
8,-59.77214557948554,1.5056971531590648
9,-59.74719918870469,1.5063297703849285
10,-59.72188584086595,1.5069638594004522
11,-59.69687572382876,1.507614364926888
12,-59.67170106801393,1.50825768231435
13,-59.64570970505631,1.5088894517268954
14,-59.6197776115469,1.5095243148720827
15,-59.59332926668216,1.5101464248912952
16,-59.56697218742422,1.5107447485561643
17,-59.54124170957882,1.5113690232735988
18,-59.515250626312735,1.511989791117321
19,-59.4893292669746,1.5126210365115158
20,-59.46409541379386,1.5132765071962286
21,-59.43877928927511,1.513936065275528
22,-59.413746431219536,1.5146001317773712
23,-59.38828277360131,1.5152615591595695
24,-59.3626957844981,1.515914187060357
25,-59.337241229101224,1.5165788971226581
26,-59.312112838535946,1.5172463762074608
27,-59.287215110254685,1.5179013195518658
28,-59.26339427023409,1.5185805867956361
29,-59.23977804693374,1.5192513936086207
30,-59.21661346519523,1.5199385577478637
31,-59.193262106124514,1.5206222652364316
32,-59.169234225991126,1.5212901900891918
33,-59.14508543461036,1.5219623619220393
34,-59.120041112057436,1.522604693026897
35,-59.095255498160604,1.5232521026024715
36,-59.07132575459699,1.5239121414752959
37,-59.046900309677085,1.524547349033305
38,-59.02190300085277,1.5251763489425438
39,-58.99641350694798,1.5257708565233912
40,-58.971203303372256,1.5263812271356116
41,-58.94740753124942,1.5270264127146345
42,-58.92337261713966,1.5277003738422412
43,-58.898327294951564,1.5283433875688217
44,-58.873716533896854,1.5289807755958644
45,-58.8489690717613,1.5296131331691465
46,-58.82424991913275,1.5302624511076903
47,-58.80023437566365,1.5309397464460706
48,-58.775997489512534,1.5315979896277527
49,-58.75247904268587,1.5322933371531897
50,-58.728817894531225,1.5329966960478372
51,-58.70566612683231,1.5337048744293889
52,-58.68202552741588,1.534401186930276
53,-58.658989263519594,1.5351031457530318
54,-58.63526420987944,1.5357887858901496
55,-58.61156525305623,1.536466231700458
56,-58.58830759183786,1.5371533669492494
57,-58.564270477316896,1.5378116423965509
58,-58.54043162466777,1.538460871101294
59,-58.516674205650865,1.5391198489328985
60,-58.492581409136115,1.5397742167975887
61,-58.46850705771137,1.5404395768919878
62,-58.443737969264305,1.5410863725122699
63,-58.41920802277449,1.5417534779618312
64,-58.394614441750896,1.5424068026258269
65,-58.37013248055107,1.543070008068007
66,-58.34545331792034,1.5437190948413708
67,-58.32198555375704,1.544376160612258
68,-58.29882619264872,1.5450434397239716
69,-58.27550306868244,1.5457018113310432
70,-58.25192453848722,1.5463358790814326
71,-58.228603144865566,1.546994322574652
72,-58.20462753140316,1.5476228407477115
73,-58.18074127870045,1.5482678023244285
74,-58.15666658508617,1.5489165709782333
75,-58.13295790108116,1.54958026023168
76,-58.108888090994284,1.5502178287868185
77,-58.085434848800034,1.5508890746500015
78,-58.06112059495586,1.551530448758199
79,-58.03694941637005,1.5521718240373905
80,-58.012747313273216,1.5528068547255094
81,-57.98857298287464,1.5534424948022196
82,-57.964687270203406,1.5540856358015795
83,-57.941520826732024,1.5547535470778615
84,-57.91836072619407,1.5554444216541252
85,-57.895343115698914,1.5561358360254902
86,-57.87253424453184,1.556840091970929
87,-57.849861770858986,1.5575323547922022
88,-57.8279201503446,1.558253638977535
89,-57.8056938968517,1.55896639454648
90,-57.78379172672229,1.5597002842440946
91,-57.761414712744646,1.560409170289586
92,-57.738557574876495,1.5611142210938072
93,-57.71543811786025,1.5618108815025997
94,-57.69204252439052,1.5625020636497329
95,-57.66889909768304,1.563201428608208
96,-57.64495388853086,1.5639057075249476
97,-57.62151055574012,1.5646257806579609
98,-57.59803221143307,1.5653390812463606
99,-57.573842379905436,1.5660281494704194
100,-57.54932526414089,1.566687985849447
101,-57.52482449880161,1.5673532703470063
102,-57.49981527679647,1.5679952430982924
103,-57.47495366037207,1.5686651234496785
104,-57.4506025500424,1.5693360325863552
105,-57.426289851506674,1.5699981510325873
106,-57.40250388907768,1.5706834116942414
107,-57.378357974855085,1.5713569782313193
108,-57.35360280716527,1.5720192871623873
109,-57.32803984391491,1.5726688445151935
110,-57.30234888052409,1.5733257187246983
111,-57.27715626946957,1.5739897296534868
112,-57.25219378353898,1.5746829608112347
113,-57.227180502590365,1.5753915644367478
114,-57.20227602348121,1.5760971223731457
115,-57.1777171442118,1.5768178521840257
116,-57.153162831171905,1.5775414630431108
117,-57.128710079020586,1.5782655578758031
118,-57.104719387418605,1.57902171909724
119,-57.08124441734054,1.5797725773602618
120,-57.05845630293794,1.580544744723539
121,-57.03567535837016,1.5813154699859067
122,-57.01321650466954,1.5820974089380964
123,-56.990513202025014,1.5828626183729624
124,-56.96779371178135,1.5836445652938296
125,-56.94536771423993,1.5844338714815516
126,-56.92337668047393,1.5852413939096341
127,-56.90140548511466,1.586049914972115
128,-56.87908343559007,1.5868488215079033
129,-56.85627819195712,1.5876353455790242
130,-56.83359137296494,1.5884253433212419
131,-56.81049524494366,1.5891891486496639
132,-56.788456640229,1.5899927162831977
133,-56.766022666675404,1.5907773505035814
134,-56.74388815773476,1.591569885526767
135,-56.72159851662576,1.5923611217701537
136,-56.69963399436411,1.5931760104709587
137,-56.67815732024807,1.5940053642378669
138,-56.65680248158613,1.594803700492287
139,-56.63539471096147,1.5955921552670211
140,-56.61400972048817,1.5963959936246974
141,-56.59288218717085,1.597219262927314
142,-56.571336942104764,1.5980281424739364
143,-56.54979617910294,1.598828867086951
144,-56.52862377833775,1.599628399561761
145,-56.508070072291936,1.6004190345726526
146,-56.487920891790836,1.6012112129544145
147,-56.46763673231861,1.6020158158624505
148,-56.44669055455912,1.6027921529556997
149,-56.4258996572288,1.6035870800916916
150,-56.405446320226126,1.6043961246906249
151,-56.38464896077747,1.605189943038664
152,-56.36416645547296,1.6059999601882895
153,-56.34324542617356,1.606822690927017
154,-56.32133968895339,1.6076059078990816
155,-56.29990454403797,1.608413145238093
156,-56.278716227146674,1.6092280224630393
157,-56.25724856098122,1.610031519873783
158,-56.23696348978585,1.6108778697508856
159,-56.216219088710275,1.6117088932478911
160,-56.195592070721446,1.612533562127393
161,-56.17359463730017,1.6133175095402132
162,-56.151958952690094,1.6140998693445885
163,-56.13012703457422,1.61487904835125
164,-56.10913943648616,1.6156498666223091
165,-56.087993333830426,1.6164065981740157
166,-56.067107342216,1.6171701239140135
167,-56.04670653011429,1.6179736619071157
168,-56.026284011531615,1.6187810031044658
169,-56.00566513717816,1.6195808848829283
170,-55.98454627787022,1.6203669453035594
171,-55.96280704227687,1.6210946042409737
