# x_ideal y_ideal x_noisy y_noisy
-10.000000 -13.000000 -10.275117 -12.742283
-9.591837 -12.387755 -9.354906 -11.703530
-9.183673 -11.775510 -9.642087 -11.837584
-8.775510 -11.163265 -9.780992 -11.409667
-8.367347 -10.551020 -8.171057 -11.015613
-7.959184 -9.938776 -7.919268 -10.018534
-7.551020 -9.326531 -7.539909 -9.540427
-7.142857 -8.714286 -7.408766 -8.773023
-6.734694 -8.102041 -6.623654 -8.486029
-6.326531 -7.489796 -6.255298 -7.507122
-5.918367 -6.877551 -5.351198 -6.929924
-5.510204 -6.265306 -5.772765 -5.308920
-5.102041 -5.653061 -6.115401 -5.093349
-4.693878 -5.040816 -4.304281 -5.591365
-4.285714 -4.428571 -3.720600 -4.242012
-3.877551 -3.816327 -4.070787 -4.395712
-3.469388 -3.204082 -3.186331 -3.556308
-3.061224 -2.591837 -3.750194 -2.768395
-2.653061 -1.979592 -2.883794 -1.946263
-2.244898 -1.367347 -2.333041 -0.766901
-1.836735 -0.755102 -1.487535 -0.840916
-1.428571 -0.142857 -1.882165 0.451456
-1.020408 0.469388 -0.627642 1.797393
-0.612245 1.081633 -0.480502 1.902518
-0.204082 1.693878 0.026326 1.736839
0.204082 2.306122 -0.550897 2.666874
0.612245 2.918367 0.190535 2.661705
1.020408 3.530612 0.998640 3.392962
1.428571 4.142857 0.647038 3.745042
1.836735 4.755102 2.302027 5.093986
2.244898 5.367347 2.594118 5.454148
2.653061 5.979592 2.984203 6.100153
3.061224 6.591837 2.977122 7.174221
3.469388 7.204082 3.346514 6.819248
3.877551 7.816327 4.483637 8.433075
4.285714 8.428571 3.498637 8.747548
4.693878 9.040816 3.671666 9.575557
5.102041 9.653061 4.635159 10.045165
5.510204 10.265306 5.202766 10.431752
5.918367 10.877551 5.228009 10.737148
6.326531 11.489796 6.296622 11.970383
6.734694 12.102041 7.631834 12.392386
7.142857 12.714286 7.291682 12.200228
7.551020 13.326531 6.841722 13.421699
7.959184 13.938776 8.027061 14.242820
8.367347 14.551020 8.719838 14.731482
8.775510 15.163265 8.042026 15.609580
9.183673 15.775510 9.131045 15.297837
9.591837 16.387755 9.384454 15.688385
10.000000 17.000000 9.827960 17.375393
